,STNAME,CTYNAME,Year,Population
5811,Texas,Live Oak County,POPESTIMATE2015,12173
6576,Colorado,Prowers County,POPESTIMATE2019,12172
409,Georgia,Charlton County,CENSUS2010POP,12171
870,Iowa,Shelby County,CENSUS2010POP,12167
7350,Kentucky,Magoffin County,POPESTIMATE2019,12161
2477,Tennessee,Lewis County,CENSUS2010POP,12161
1022,Kentucky,Edmonson County,CENSUS2010POP,12161
3947,Iowa,Chickasaw County,POPESTIMATE2015,12151
7304,Kentucky,Edmonson County,POPESTIMATE2019,12150
2940,Virginia,Poquoson city,CENSUS2010POP,12150
6884,Illinois,Cass County,POPESTIMATE2019,12147
6872,Idaho,Teton County,POPESTIMATE2019,12142
3276,Arkansas,Fulton County,POPESTIMATE2015,12138
7772,Missouri,Bollinger County,POPESTIMATE2019,12133
6618,Florida,Franklin County,POPESTIMATE2019,12125
9072,Utah,Morgan County,POPESTIMATE2019,12124
7923,Montana,Sanders County,POPESTIMATE2019,12113
7762,Mississippi,Yalobusha County,POPESTIMATE2019,12108
5324,Oklahoma,Okfuskee County,POPESTIMATE2015,12107
9164,Virginia,Northumberland County,POPESTIMATE2019,12095
7388,Kentucky,Washington County,POPESTIMATE2019,12095
1144,Louisiana,Madison Parish,CENSUS2010POP,12093
7825,Missouri,Madison County,POPESTIMATE2019,12088
2906,Virginia,Sussex County,CENSUS2010POP,12087
247,Colorado,Archuleta County,CENSUS2010POP,12084
4465,Minnesota,Chippewa County,POPESTIMATE2015,12084
9263,Washington,Skamania County,POPESTIMATE2019,12083
4746,Montana,Custer County,POPESTIMATE2015,12083
6022,Virginia,Northampton County,POPESTIMATE2015,12080
805,Iowa,Cherokee County,CENSUS2010POP,12072
4596,Mississippi,Perry County,POPESTIMATE2015,12071
6299,Alabama,Conecuh County,POPESTIMATE2019,12067
4085,Kansas,Marion County,POPESTIMATE2015,12053
6806,Georgia,Towns County,POPESTIMATE2019,12037
3272,Arkansas,Desha County,POPESTIMATE2015,12029
8997,Texas,Red River County,POPESTIMATE2019,12023
6081,Virginia,Poquoson city,POPESTIMATE2015,12021
9069,Utah,Juab County,POPESTIMATE2019,12017
501,Georgia,Pulaski County,CENSUS2010POP,12010
4247,Kentucky,Washington County,POPESTIMATE2015,12007
9041,Texas,Ward County,POPESTIMATE2019,11998
8465,Oklahoma,Okfuskee County,POPESTIMATE2019,11993
4163,Kentucky,Edmonson County,POPESTIMATE2015,11991
1821,New Mexico,Sierra County,CENSUS2010POP,11988
297,Colorado,Rio Grande County,CENSUS2010POP,11982
7737,Mississippi,Perry County,POPESTIMATE2019,11973
686,Illinois,Wabash County,CENSUS2010POP,11947
6260,Wyoming,Big Horn County,POPESTIMATE2015,11945
2135,Oklahoma,Blaine County,CENSUS2010POP,11943
8080,New Mexico,Colfax County,POPESTIMATE2019,11941
3002,West Virginia,Grant County,CENSUS2010POP,11937
3435,Colorado,Prowers County,POPESTIMATE2015,11936
7088,Iowa,Chickasaw County,POPESTIMATE2019,11933
8819,Texas,Blanco County,POPESTIMATE2019,11931
3796,Illinois,Marshall County,POPESTIMATE2015,11925
6741,Georgia,Heard County,POPESTIMATE2019,11923
7821,Missouri,Linn County,POPESTIMATE2019,11920
4779,Montana,Richland County,POPESTIMATE2015,11902
7226,Kansas,Marion County,POPESTIMATE2019,11884
9120,Virginia,Charlotte County,POPESTIMATE2019,11880
5618,Tennessee,Lewis County,POPESTIMATE2015,11875
7554,Michigan,Lake County,POPESTIMATE2019,11853
9057,Texas,Zavala County,POPESTIMATE2019,11840
459,Georgia,Heard County,CENSUS2010POP,11834
4628,Missouri,Barton County,POPESTIMATE2015,11825
6868,Idaho,Owyhee County,POPESTIMATE2019,11823
1265,Michigan,Iron County,CENSUS2010POP,11817
5628,Tennessee,Meigs County,POPESTIMATE2015,11804
119,Arkansas,Chicot County,CENSUS2010POP,11800
7606,Minnesota,Chippewa County,POPESTIMATE2019,11800
9401,Wyoming,Big Horn County,POPESTIMATE2019,11790
4011,Iowa,Shelby County,POPESTIMATE2015,11789
5999,Virginia,Greensville County,POPESTIMATE2015,11786
8752,Tennessee,Jackson County,POPESTIMATE2019,11786
2587,Texas,Duval County,CENSUS2010POP,11782
6982,Indiana,Blackford County,POPESTIMATE2019,11758
2446,Tennessee,Decatur County,CENSUS2010POP,11757
7129,Iowa,Lyon County,POPESTIMATE2019,11755
7769,Missouri,Barton County,POPESTIMATE2019,11754
2487,Tennessee,Meigs County,CENSUS2010POP,11753
3988,Iowa,Lyon County,POPESTIMATE2015,11747
1106,Kentucky,Washington County,CENSUS2010POP,11717
9163,Virginia,Northampton County,POPESTIMATE2019,11710
3477,Florida,Franklin County,POPESTIMATE2015,11707
1605,Montana,Custer County,CENSUS2010POP,11699
4413,Michigan,Lake County,POPESTIMATE2015,11697
6047,Virginia,Sussex County,POPESTIMATE2015,11692
5345,Oklahoma,Washita County,POPESTIMATE2015,11687
1329,Minnesota,Cottonwood County,CENSUS2010POP,11687
2775,Texas,Zavala County,CENSUS2010POP,11677
65,Alabama,Wilcox County,CENSUS2010POP,11670
3119,Wyoming,Big Horn County,CENSUS2010POP,11668
5165,North Dakota,Ramsey County,POPESTIMATE2015,11664
8728,Tennessee,Decatur County,POPESTIMATE2019,11663
6143,West Virginia,Grant County,POPESTIMATE2015,11651
2470,Tennessee,Jackson County,CENSUS2010POP,11638
4573,Mississippi,Jefferson Davis County,POPESTIMATE2015,11632
5900,Texas,Ward County,POPESTIMATE2015,11631
2204,Oklahoma,Washita County,CENSUS2010POP,11629
3827,Illinois,Wabash County,POPESTIMATE2015,11624
1173,Louisiana,West Carroll Parish,CENSUS2010POP,11604
8513,Oregon,Morrow County,POPESTIMATE2019,11603
5587,Tennessee,Decatur County,POPESTIMATE2015,11600
997,Kentucky,Bath County,CENSUS2010POP,11591
1610,Montana,Fergus County,CENSUS2010POP,11586
847,Iowa,Lyon County,CENSUS2010POP,11581
8264,North Carolina,Washington County,POPESTIMATE2019,11580
2193,Oklahoma,Pushmataha County,CENSUS2010POP,11572
4759,Montana,Jefferson County,POPESTIMATE2015,11572
4692,Missouri,Montgomery County,POPESTIMATE2015,11572
9284,West Virginia,Grant County,POPESTIMATE2019,11568
8207,North Carolina,Gates County,POPESTIMATE2019,11562
2181,Oklahoma,Noble County,CENSUS2010POP,11561
3600,Georgia,Heard County,POPESTIMATE2015,11556
4285,Louisiana,Madison Parish,POPESTIMATE2015,11554
7833,Missouri,Montgomery County,POPESTIMATE2019,11551
5322,Oklahoma,Noble County,POPESTIMATE2015,11550
336,Florida,Franklin County,CENSUS2010POP,11549
1451,Mississippi,Noxubee County,CENSUS2010POP,11545
1272,Michigan,Lake County,CENSUS2010POP,11539
18,Alabama,Coosa County,CENSUS2010POP,11539
5611,Tennessee,Jackson County,POPESTIMATE2015,11534
5066,North Carolina,Gates County,POPESTIMATE2015,11531
2670,Texas,Live Oak County,CENSUS2010POP,11531
586,Idaho,Owyhee County,CENSUS2010POP,11526
6968,Illinois,Wabash County,POPESTIMATE2019,11520
8306,North Dakota,Ramsey County,POPESTIMATE2019,11519
116,Arkansas,Bradley County,CENSUS2010POP,11508
3946,Iowa,Cherokee County,POPESTIMATE2015,11483
7152,Iowa,Shelby County,POPESTIMATE2019,11454
2024,North Dakota,Ramsey County,CENSUS2010POP,11451
6937,Illinois,Marshall County,POPESTIMATE2019,11438
4470,Minnesota,Cottonwood County,POPESTIMATE2015,11422
4780,Montana,Roosevelt County,POPESTIMATE2015,11417
1641,Montana,Sanders County,CENSUS2010POP,11413
1618,Montana,Jefferson County,CENSUS2010POP,11406
7887,Montana,Custer County,POPESTIMATE2019,11402
7507,Massachusetts,Nantucket County,POPESTIMATE2019,11399
3642,Georgia,Pulaski County,POPESTIMATE2015,11395
6874,Idaho,Valley County,POPESTIMATE2019,11392
2869,Virginia,Lancaster County,CENSUS2010POP,11391
845,Iowa,Louisa County,CENSUS2010POP,11387
6122,Washington,Skamania County,POPESTIMATE2015,11375
6413,Arkansas,Desha County,POPESTIMATE2019,11361
3438,Colorado,Rio Grande County,POPESTIMATE2015,11352
828,Iowa,Hancock County,CENSUS2010POP,11341
5728,Texas,Duval County,POPESTIMATE2015,11336
9140,Virginia,Greensville County,POPESTIMATE2019,11336
4800,Nebraska,Box Butte County,POPESTIMATE2015,11325
4406,Michigan,Iron County,POPESTIMATE2015,11320
1057,Kentucky,Leslie County,CENSUS2010POP,11310
1659,Nebraska,Box Butte County,CENSUS2010POP,11308
4751,Montana,Fergus County,POPESTIMATE2015,11307
3701,Idaho,Boundary County,POPESTIMATE2015,11299
42,Alabama,Lowndes County,CENSUS2010POP,11299
4782,Montana,Sanders County,POPESTIMATE2015,11293
165,Arkansas,Pike County,CENSUS2010POP,11291
3727,Idaho,Owyhee County,POPESTIMATE2015,11288
4314,Louisiana,West Carroll Parish,POPESTIMATE2015,11287
3986,Iowa,Louisa County,POPESTIMATE2015,11285
8793,Tennessee,Trousdale County,POPESTIMATE2019,11284
411,Georgia,Chattahoochee County,CENSUS2010POP,11267
6579,Colorado,Rio Grande County,POPESTIMATE2019,11267
1035,Kentucky,Green County,CENSUS2010POP,11258
7655,Minnesota,Pope County,POPESTIMATE2019,11249
4962,New Mexico,Sierra County,POPESTIMATE2015,11236
7087,Iowa,Cherokee County,POPESTIMATE2019,11235
174,Arkansas,Scott County,CENSUS2010POP,11233
3529,Georgia,Bacon County,POPESTIMATE2015,11231
8192,North Carolina,Clay County,POPESTIMATE2019,11231
3665,Georgia,Towns County,POPESTIMATE2015,11212
1395,Minnesota,Watonwan County,CENSUS2010POP,11211
1157,Louisiana,St. Helena Parish,CENSUS2010POP,11203
2399,South Dakota,Lake County,CENSUS2010POP,11200
7611,Minnesota,Cottonwood County,POPESTIMATE2019,11196
7353,Kentucky,Martin County,POPESTIMATE2019,11195
2231,Oregon,Morrow County,CENSUS2010POP,11173
6670,Georgia,Bacon County,POPESTIMATE2019,11164
5334,Oklahoma,Pushmataha County,POPESTIMATE2015,11162
9188,Virginia,Sussex County,POPESTIMATE2019,11159
8869,Texas,Duval County,POPESTIMATE2019,11157
1891,North Carolina,Alleghany County,CENSUS2010POP,11155
2168,Oklahoma,Latimer County,CENSUS2010POP,11154
2846,Virginia,Essex County,CENSUS2010POP,11151
6783,Georgia,Pulaski County,POPESTIMATE2019,11137
8173,North Carolina,Alleghany County,POPESTIMATE2019,11137
5852,Texas,Rains County,POPESTIMATE2015,11136
8463,Oklahoma,Noble County,POPESTIMATE2019,11131
5372,Oregon,Morrow County,POPESTIMATE2015,11130
7714,Mississippi,Jefferson Davis County,POPESTIMATE2019,11128
2038,North Dakota,Walsh County,CENSUS2010POP,11119
1278,Michigan,Mackinac County,CENSUS2010POP,11113
5987,Virginia,Essex County,POPESTIMATE2015,11096
8475,Oklahoma,Pushmataha County,POPESTIMATE2019,11096
388,Georgia,Bacon County,CENSUS2010POP,11096
8446,Oklahoma,Johnston County,POPESTIMATE2019,11085
2981,Washington,Skamania County,CENSUS2010POP,11066
1990,North Dakota,Barnes County,CENSUS2010POP,11066
7547,Michigan,Iron County,POPESTIMATE2019,11066
1725,Nebraska,Red Willow County,CENSUS2010POP,11055
7892,Montana,Fergus County,POPESTIMATE2019,11050
611,Illinois,Cumberland County,CENSUS2010POP,11048
3552,Georgia,Chattahoochee County,POPESTIMATE2015,11042
5931,Utah,Morgan County,POPESTIMATE2015,11039
7127,Iowa,Louisa County,POPESTIMATE2019,11035
5678,Texas,Blanco County,POPESTIMATE2015,11029
3969,Iowa,Hancock County,POPESTIMATE2015,11028
4536,Minnesota,Watonwan County,POPESTIMATE2015,11018
434,Georgia,Early County,CENSUS2010POP,11008
5131,North Dakota,Barnes County,POPESTIMATE2015,11008
7921,Montana,Roosevelt County,POPESTIMATE2019,11004
439,Georgia,Evans County,CENSUS2010POP,11000
3257,Arkansas,Bradley County,POPESTIMATE2015,10999
406,Georgia,Candler County,CENSUS2010POP,10998
1373,Minnesota,Pope County,CENSUS2010POP,10995
2783,Utah,Emery County,CENSUS2010POP,10976
560,Idaho,Boundary County,CENSUS2010POP,10972
3260,Arkansas,Chicot County,POPESTIMATE2015,10970
5305,Oklahoma,Johnston County,POPESTIMATE2015,10967
1077,Kentucky,Monroe County,CENSUS2010POP,10963
2877,Virginia,Middlesex County,CENSUS2010POP,10959
2164,Oklahoma,Johnston County,CENSUS2010POP,10957
826,Iowa,Guthrie County,CENSUS2010POP,10954
9128,Virginia,Essex County,POPESTIMATE2019,10953
4176,Kentucky,Green County,POPESTIMATE2015,10951
7426,Louisiana,Madison Parish,POPESTIMATE2019,10951
1230,Michigan,Alcona County,CENSUS2010POP,10942
4592,Mississippi,Noxubee County,POPESTIMATE2015,10942
7317,Kentucky,Green County,POPESTIMATE2019,10941
4366,Massachusetts,Nantucket County,POPESTIMATE2015,10940
1673,Nebraska,Custer County,CENSUS2010POP,10939
9255,Washington,Lincoln County,POPESTIMATE2019,10939
4514,Minnesota,Pope County,POPESTIMATE2015,10936
3159,Alabama,Coosa County,POPESTIMATE2015,10934
1448,Mississippi,Montgomery County,CENSUS2010POP,10925
8486,Oklahoma,Washita County,POPESTIMATE2019,10916
5,Alabama,Bullock County,CENSUS2010POP,10914
2711,Texas,Rains County,CENSUS2010POP,10914
5726,Texas,Dimmit County,POPESTIMATE2015,10910
6693,Georgia,Chattahoochee County,POPESTIMATE2019,10907
7367,Kentucky,Owen County,POPESTIMATE2019,10901
7677,Minnesota,Watonwan County,POPESTIMATE2019,10897
3206,Alabama,Wilcox County,POPESTIMATE2015,10896
4866,Nebraska,Red Willow County,POPESTIMATE2015,10883
1556,Missouri,Oregon County,CENSUS2010POP,10881
3547,Georgia,Candler County,POPESTIMATE2015,10873
8185,North Carolina,Camden County,POPESTIMATE2019,10867
882,Iowa,Winnebago County,CENSUS2010POP,10866
1350,Minnesota,Lake County,CENSUS2010POP,10866
3752,Illinois,Cumberland County,POPESTIMATE2015,10860
5032,North Carolina,Alleghany County,POPESTIMATE2015,10856
5179,North Dakota,Walsh County,POPESTIMATE2015,10852
4697,Missouri,Oregon County,POPESTIMATE2015,10850
1085,Kentucky,Owen County,CENSUS2010POP,10841
3306,Arkansas,Pike County,POPESTIMATE2015,10837
2723,Texas,Sabine County,CENSUS2010POP,10834
7455,Louisiana,West Carroll Parish,POPESTIMATE2019,10830
4814,Nebraska,Custer County,POPESTIMATE2015,10828
6010,Virginia,Lancaster County,POPESTIMATE2015,10825
4419,Michigan,Mackinac County,POPESTIMATE2015,10821
1012,Kentucky,Carroll County,CENSUS2010POP,10811
6688,Georgia,Candler County,POPESTIMATE2019,10803
7920,Montana,Richland County,POPESTIMATE2019,10803
7560,Michigan,Mackinac County,POPESTIMATE2019,10799
8103,New Mexico,Sierra County,POPESTIMATE2019,10791
7941,Nebraska,Box Butte County,POPESTIMATE2019,10783
1471,Mississippi,Tunica County,CENSUS2010POP,10778
7955,Nebraska,Custer County,POPESTIMATE2019,10777
853,Iowa,Mitchell County,CENSUS2010POP,10776
6893,Illinois,Cumberland County,POPESTIMATE2019,10766
6398,Arkansas,Bradley County,POPESTIMATE2019,10763
2560,Texas,Clay County,CENSUS2010POP,10752
7055,Indiana,Switzerland County,POPESTIMATE2019,10751
856,Iowa,Montgomery County,CENSUS2010POP,10740
4226,Kentucky,Owen County,POPESTIMATE2015,10736
7883,Montana,Carbon County,POPESTIMATE2019,10725
3731,Idaho,Teton County,POPESTIMATE2015,10725
8883,Texas,Franklin County,POPESTIMATE2019,10725
8007,Nebraska,Red Willow County,POPESTIMATE2019,10724
6447,Arkansas,Pike County,POPESTIMATE2019,10718
4812,Nebraska,Colfax County,POPESTIMATE2015,10717
708,Indiana,Crawford County,CENSUS2010POP,10713
7953,Nebraska,Colfax County,POPESTIMATE2019,10709
5841,Texas,Ochiltree County,POPESTIMATE2015,10698
3580,Georgia,Evans County,POPESTIMATE2015,10690
7108,Iowa,Guthrie County,POPESTIMATE2019,10689
6018,Virginia,Middlesex County,POPESTIMATE2015,10686
4153,Kentucky,Carroll County,POPESTIMATE2015,10682
822,Iowa,Franklin County,CENSUS2010POP,10680
3994,Iowa,Mitchell County,POPESTIMATE2015,10676
6300,Alabama,Coosa County,POPESTIMATE2019,10663
2759,Texas,Ward County,CENSUS2010POP,10658
6721,Georgia,Evans County,POPESTIMATE2019,10654
7359,Kentucky,Monroe County,POPESTIMATE2019,10650
3967,Iowa,Guthrie County,POPESTIMATE2015,10649
4198,Kentucky,Leslie County,POPESTIMATE2015,10644
7632,Minnesota,Lake County,POPESTIMATE2019,10641
8320,North Dakota,Walsh County,POPESTIMATE2019,10641
7294,Kentucky,Carroll County,POPESTIMATE2019,10631
7110,Iowa,Hancock County,POPESTIMATE2019,10630
1528,Missouri,Iron County,CENSUS2010POP,10630
5309,Oklahoma,Latimer County,POPESTIMATE2015,10624
5051,North Carolina,Clay County,POPESTIMATE2015,10623
4218,Kentucky,Monroe County,POPESTIMATE2015,10618
3914,Indiana,Switzerland County,POPESTIMATE2015,10614
773,Indiana,Switzerland County,CENSUS2010POP,10613
2601,Texas,Franklin County,CENSUS2010POP,10605
9151,Virginia,Lancaster County,POPESTIMATE2019,10603
4023,Iowa,Winnebago County,POPESTIMATE2015,10603
5742,Texas,Franklin County,POPESTIMATE2015,10603
1407,Mississippi,Carroll County,CENSUS2010POP,10597
542,Georgia,Wilkes County,CENSUS2010POP,10593
52,Alabama,Perry County,CENSUS2010POP,10591
1910,North Carolina,Clay County,CENSUS2010POP,10587
7135,Iowa,Mitchell County,POPESTIMATE2019,10586
9159,Virginia,Middlesex County,POPESTIMATE2019,10582
6990,Indiana,Crawford County,POPESTIMATE2019,10577
2973,Washington,Lincoln County,CENSUS2010POP,10570
3315,Arkansas,Scott County,POPESTIMATE2015,10561
3849,Indiana,Crawford County,POPESTIMATE2015,10555
5928,Utah,Juab County,POPESTIMATE2015,10551
2679,Texas,Marion County,CENSUS2010POP,10546
8301,North Dakota,Mountrail County,POPESTIMATE2019,10545
9005,Texas,Sabine County,POPESTIMATE2019,10542
4491,Minnesota,Lake County,POPESTIMATE2015,10541
2182,Oklahoma,Nowata County,CENSUS2010POP,10536
7838,Missouri,Oregon County,POPESTIMATE2019,10529
5323,Oklahoma,Nowata County,POPESTIMATE2015,10519
1671,Nebraska,Colfax County,CENSUS2010POP,10515
841,Iowa,Keokuk County,CENSUS2010POP,10511
2721,Texas,Runnels County,CENSUS2010POP,10501
2537,Texas,Blanco County,CENSUS2010POP,10497
8842,Texas,Clay County,POPESTIMATE2019,10471
524,Georgia,Towns County,CENSUS2010POP,10471
3575,Georgia,Early County,POPESTIMATE2015,10462
4298,Louisiana,St. Helena Parish,POPESTIMATE2015,10457
1434,Mississippi,Kemper County,CENSUS2010POP,10456
6445,Arkansas,Perry County,POPESTIMATE2019,10455
3033,West Virginia,Ritchie County,CENSUS2010POP,10449
163,Arkansas,Perry County,CENSUS2010POP,10445
5864,Texas,Sabine County,POPESTIMATE2015,10440
1399,Minnesota,Yellow Medicine County,CENSUS2010POP,10438
1697,Nebraska,Holt County,CENSUS2010POP,10435
8651,South Dakota,Butte County,POPESTIMATE2019,10429
1639,Montana,Roosevelt County,CENSUS2010POP,10425
149,Arkansas,Lee County,CENSUS2010POP,10424
6753,Georgia,Lanier County,POPESTIMATE2019,10423
2317,South Carolina,Allendale County,CENSUS2010POP,10419
7733,Mississippi,Noxubee County,POPESTIMATE2019,10417
8272,North Dakota,Barnes County,POPESTIMATE2019,10415
1124,Louisiana,Catahoula Parish,CENSUS2010POP,10407
7512,Michigan,Alcona County,POPESTIMATE2019,10405
4742,Montana,Carbon County,POPESTIMATE2015,10403
3146,Alabama,Bullock County,POPESTIMATE2015,10400
8697,South Dakota,Roberts County,POPESTIMATE2019,10394
5862,Texas,Runnels County,POPESTIMATE2015,10387
6347,Alabama,Wilcox County,POPESTIMATE2019,10373
5701,Texas,Clay County,POPESTIMATE2015,10359
5924,Utah,Emery County,POPESTIMATE2015,10359
7164,Iowa,Winnebago County,POPESTIMATE2019,10354
868,Iowa,Sac County,CENSUS2010POP,10350
3183,Alabama,Lowndes County,POPESTIMATE2015,10350
746,Indiana,Martin County,CENSUS2010POP,10334
4371,Michigan,Alcona County,POPESTIMATE2015,10330
3963,Iowa,Franklin County,POPESTIMATE2015,10319
5160,North Dakota,Mountrail County,POPESTIMATE2015,10311
7850,Missouri,Ralls County,POPESTIMATE2019,10309
3304,Arkansas,Perry County,POPESTIMATE2015,10307
819,Iowa,Emmet County,CENSUS2010POP,10302
6114,Washington,Lincoln County,POPESTIMATE2015,10285
5044,North Carolina,Camden County,POPESTIMATE2015,10282
6456,Arkansas,Scott County,POPESTIMATE2019,10281
1018,Kentucky,Clinton County,CENSUS2010POP,10272
2706,Texas,Parmer County,CENSUS2010POP,10269
3612,Georgia,Lanier County,POPESTIMATE2015,10269
1344,Minnesota,Jackson County,CENSUS2010POP,10266
4612,Mississippi,Tunica County,POPESTIMATE2015,10264
9003,Texas,Runnels County,POPESTIMATE2019,10264
4838,Nebraska,Holt County,POPESTIMATE2015,10263
1521,Missouri,Grundy County,CENSUS2010POP,10261
7028,Indiana,Martin County,POPESTIMATE2019,10255
8454,Oklahoma,Love County,POPESTIMATE2019,10253
1477,Mississippi,Webster County,CENSUS2010POP,10253
3135,Wyoming,Sublette County,CENSUS2010POP,10247
7123,Iowa,Keokuk County,POPESTIMATE2019,10246
2787,Utah,Juab County,CENSUS2010POP,10246
2347,South Carolina,McCormick County,CENSUS2010POP,10233
7234,Kansas,Nemaha County,POPESTIMATE2019,10231
2700,Texas,Ochiltree County,CENSUS2010POP,10223
7300,Kentucky,Clinton County,POPESTIMATE2019,10218
3887,Indiana,Martin County,POPESTIMATE2015,10216
1537,Missouri,Lewis County,CENSUS2010POP,10211
5556,South Dakota,Roberts County,POPESTIMATE2015,10209
5510,South Dakota,Butte County,POPESTIMATE2015,10207
4548,Mississippi,Carroll County,POPESTIMATE2015,10203
4669,Missouri,Iron County,POPESTIMATE2015,10203
593,Idaho,Washington County,CENSUS2010POP,10198
4589,Mississippi,Montgomery County,POPESTIMATE2015,10195
6875,Idaho,Washington County,POPESTIMATE2019,10194
6716,Georgia,Early County,POPESTIMATE2019,10190
4159,Kentucky,Clinton County,POPESTIMATE2015,10183
952,Kansas,Nemaha County,CENSUS2010POP,10178
8702,South Dakota,Todd County,POPESTIMATE2019,10177
1225,Massachusetts,Nantucket County,CENSUS2010POP,10172
3982,Iowa,Keokuk County,POPESTIMATE2015,10171
590,Idaho,Teton County,CENSUS2010POP,10170
4709,Missouri,Ralls County,POPESTIMATE2015,10169
1568,Missouri,Ralls County,CENSUS2010POP,10167
1940,North Carolina,Jones County,CENSUS2010POP,10153
3997,Iowa,Montgomery County,POPESTIMATE2015,10149
2415,South Dakota,Roberts County,CENSUS2010POP,10149
1526,Missouri,Howard County,CENSUS2010POP,10144
4678,Missouri,Lewis County,POPESTIMATE2015,10138
4810,Nebraska,Cheyenne County,POPESTIMATE2015,10137
5820,Texas,Marion County,POPESTIMATE2015,10136
4667,Missouri,Howard County,POPESTIMATE2015,10134
7439,Louisiana,St. Helena Parish,POPESTIMATE2019,10132
1122,Louisiana,Caldwell Parish,CENSUS2010POP,10132
7810,Missouri,Iron County,POPESTIMATE2019,10125
8867,Texas,Dimmit County,POPESTIMATE2019,10124
6401,Arkansas,Chicot County,POPESTIMATE2019,10118
945,Kansas,Marshall County,CENSUS2010POP,10117
4575,Mississippi,Kemper County,POPESTIMATE2015,10111
2369,South Dakota,Butte County,CENSUS2010POP,10110
6287,Alabama,Bullock County,POPESTIMATE2019,10101
1076,Kentucky,Metcalfe County,CENSUS2010POP,10099
4485,Minnesota,Jackson County,POPESTIMATE2015,10096
4093,Kansas,Nemaha County,POPESTIMATE2015,10094
6174,West Virginia,Ritchie County,POPESTIMATE2015,10084
966,Kansas,Rice County,CENSUS2010POP,10083
471,Georgia,Lanier County,CENSUS2010POP,10078
1601,Montana,Carbon County,CENSUS2010POP,10078
8464,Oklahoma,Nowata County,POPESTIMATE2019,10076
8450,Oklahoma,Latimer County,POPESTIMATE2019,10073
7358,Kentucky,Metcalfe County,POPESTIMATE2019,10071
7104,Iowa,Franklin County,POPESTIMATE2019,10070
7979,Nebraska,Holt County,POPESTIMATE2019,10067
2843,Virginia,Cumberland County,CENSUS2010POP,10052
4263,Louisiana,Caldwell Parish,POPESTIMATE2015,10045
6276,Wyoming,Sublette County,POPESTIMATE2015,10044
307,Colorado,Yuma County,CENSUS2010POP,10043
3733,Idaho,Valley County,POPESTIMATE2015,10043
5561,South Dakota,Todd County,POPESTIMATE2015,10041
3448,Colorado,Yuma County,POPESTIMATE2015,10037
4662,Missouri,Grundy County,POPESTIMATE2015,10031
1761,Nevada,White Pine County,CENSUS2010POP,10030
4265,Louisiana,Catahoula Parish,POPESTIMATE2015,10029
6589,Colorado,Yuma County,POPESTIMATE2019,10019
9065,Utah,Emery County,POPESTIMATE2019,10012
6366,Alaska,Nome Census Area,POPESTIMATE2019,10004
7808,Missouri,Howard County,POPESTIMATE2019,10001
1669,Nebraska,Cheyenne County,CENSUS2010POP,9998
2585,Texas,Dimmit County,CENSUS2010POP,9996
893,Kansas,Brown County,CENSUS2010POP,9984
1903,North Carolina,Camden County,CENSUS2010POP,9980
468,Georgia,Johnson County,CENSUS2010POP,9980
4009,Iowa,Sac County,POPESTIMATE2015,9966
7689,Mississippi,Carroll County,POPESTIMATE2019,9947
9125,Virginia,Cumberland County,POPESTIMATE2019,9932
4217,Kentucky,Metcalfe County,POPESTIMATE2015,9925
4107,Kansas,Rice County,POPESTIMATE2015,9925
7404,Louisiana,Caldwell Parish,POPESTIMATE2019,9918
7138,Iowa,Montgomery County,POPESTIMATE2019,9917
3683,Georgia,Wilkes County,POPESTIMATE2015,9911
3225,Alaska,Nome Census Area,POPESTIMATE2015,9893
3734,Idaho,Washington County,POPESTIMATE2015,9891
1478,Mississippi,Wilkinson County,CENSUS2010POP,9878
7339,Kentucky,Leslie County,POPESTIMATE2019,9877
4528,Minnesota,Stevens County,POPESTIMATE2015,9874
4902,Nevada,White Pine County,POPESTIMATE2015,9873
4618,Mississippi,Webster County,POPESTIMATE2015,9873
592,Idaho,Valley County,CENSUS2010POP,9862
8961,Texas,Marion County,POPESTIMATE2019,9854
7803,Missouri,Grundy County,POPESTIMATE2019,9850
7626,Minnesota,Jackson County,POPESTIMATE2019,9846
4086,Kansas,Marshall County,POPESTIMATE2015,9845
4540,Minnesota,Yellow Medicine County,POPESTIMATE2015,9837
8982,Texas,Ochiltree County,POPESTIMATE2019,9836
6367,Alaska,North Slope Borough,POPESTIMATE2019,9832
9417,Wyoming,Sublette County,POPESTIMATE2019,9831
833,Iowa,Humboldt County,CENSUS2010POP,9815
5313,Oklahoma,Love County,POPESTIMATE2015,9815
7669,Minnesota,Stevens County,POPESTIMATE2019,9805
1574,Missouri,St. Clair County,CENSUS2010POP,9805
3941,Iowa,Calhoun County,POPESTIMATE2015,9801
5847,Texas,Parmer County,POPESTIMATE2015,9794
3226,Alaska,North Slope Borough,POPESTIMATE2015,9788
1388,Minnesota,Swift County,CENSUS2010POP,9783
6824,Georgia,Wilkes County,POPESTIMATE2019,9777
5081,North Carolina,Jones County,POPESTIMATE2015,9777
7819,Missouri,Lewis County,POPESTIMATE2019,9776
7730,Mississippi,Montgomery County,POPESTIMATE2019,9775
1289,Michigan,Montmorency County,CENSUS2010POP,9765
5276,Oklahoma,Blaine County,POPESTIMATE2015,9762
5984,Virginia,Cumberland County,POPESTIMATE2015,9756
9067,Utah,Grand County,POPESTIMATE2019,9754
1638,Montana,Richland County,CENSUS2010POP,9746
7716,Mississippi,Kemper County,POPESTIMATE2019,9742
