,STNAME,CTYNAME,Year,Population
5010,New York,Richmond County,POPESTIMATE2015,472349
6659,Florida,Seminole County,POPESTIMATE2019,471826
8042,Nevada,Washoe County,POPESTIMATE2019,471519
2983,Washington,Spokane County,CENSUS2010POP,471221
9173,Virginia,Prince William County,POPESTIMATE2019,470335
8755,Tennessee,Knox County,POPESTIMATE2019,470313
4363,Massachusetts,Hampden County,POPESTIMATE2015,469113
1869,New York,Richmond County,CENSUS2010POP,468730
4005,Iowa,Polk County,POPESTIMATE2015,467304
1860,New York,Onondaga County,CENSUS2010POP,467026
7504,Massachusetts,Hampden County,POPESTIMATE2019,466372
5001,New York,Onondaga County,POPESTIMATE2015,466277
6521,California,Tulare County,POPESTIMATE2019,466195
369,Florida,Pasco County,CENSUS2010POP,464697
1222,Massachusetts,Hampden County,CENSUS2010POP,463490
6389,Arizona,Pinal County,POPESTIMATE2019,462789
8142,New York,Onondaga County,POPESTIMATE2019,460528
3380,California,Tulare County,POPESTIMATE2015,457161
6098,Washington,Clark County,POPESTIMATE2015,456939
2691,Texas,Montgomery County,CENSUS2010POP,455746
5614,Tennessee,Knox County,POPESTIMATE2015,451297
2337,South Carolina,Greenville County,CENSUS2010POP,451225
6032,Virginia,Prince William County,POPESTIMATE2015,450978
6089,Virginia,Virginia Beach city,POPESTIMATE2015,450304
9230,Virginia,Virginia Beach city,POPESTIMATE2019,449974
8591,Pennsylvania,York County,POPESTIMATE2019,449058
1775,New Jersey,Burlington County,CENSUS2010POP,448734
3518,Florida,Seminole County,POPESTIMATE2015,448318
6515,California,Solano County,POPESTIMATE2019,447643
4916,New Jersey,Burlington County,POPESTIMATE2015,446832
6509,California,Santa Barbara County,POPESTIMATE2019,446499
4269,Louisiana,East Baton Rouge Parish,POPESTIMATE2015,445512
8057,New Jersey,Burlington County,POPESTIMATE2019,445349
4901,Nevada,Washoe County,POPESTIMATE2015,442453
3368,California,Santa Barbara County,POPESTIMATE2015,442229
239,California,Tulare County,CENSUS2010POP,442179
2089,Ohio,Lucas County,CENSUS2010POP,441815
5450,Pennsylvania,York County,POPESTIMATE2015,441741
244,Colorado,Adams County,CENSUS2010POP,441603
1128,Louisiana,East Baton Rouge Parish,CENSUS2010POP,440171
7410,Louisiana,East Baton Rouge Parish,POPESTIMATE2019,440059
2948,Virginia,Virginia Beach city,CENSUS2010POP,437994
4278,Louisiana,Jefferson Parish,POPESTIMATE2015,435175
2309,Pennsylvania,York County,CENSUS2010POP,434972
6494,California,Monterey County,POPESTIMATE2019,434061
6658,Florida,Sarasota County,POPESTIMATE2019,433742
5230,Ohio,Lucas County,POPESTIMATE2015,433633
3374,California,Solano County,POPESTIMATE2015,433409
3691,Idaho,Ada County,POPESTIMATE2015,432862
1137,Louisiana,Jefferson Parish,CENSUS2010POP,432552
7419,Louisiana,Jefferson Parish,POPESTIMATE2019,432493
2473,Tennessee,Knox County,CENSUS2010POP,432226
864,Iowa,Polk County,CENSUS2010POP,430640
3353,California,Monterey County,POPESTIMATE2015,430552
7613,Minnesota,Dakota County,POPESTIMATE2019,429021
8371,Ohio,Lucas County,POPESTIMATE2019,428348
1254,Michigan,Genesee County,CENSUS2010POP,425790
2957,Washington,Clark County,CENSUS2010POP,425363
227,California,Santa Barbara County,CENSUS2010POP,423895
8834,Texas,Cameron County,POPESTIMATE2019,423163
377,Florida,Seminole County,CENSUS2010POP,422718
2767,Texas,Williamson County,CENSUS2010POP,422679
1760,Nevada,Washoe County,CENSUS2010POP,421407
8530,Pennsylvania,Berks County,POPESTIMATE2019,421164
5693,Texas,Cameron County,POPESTIMATE2015,419450
8491,Oregon,Clackamas County,POPESTIMATE2019,418187
8050,New Hampshire,Hillsborough County,POPESTIMATE2019,417025
8636,South Carolina,Richland County,POPESTIMATE2019,415759
5389,Pennsylvania,Berks County,POPESTIMATE2015,415138
212,California,Monterey County,CENSUS2010POP,415057
3189,Alabama,Mobile County,POPESTIMATE2015,414462
