,STNAME,CTYNAME,POPESTIMATE2019,BIRTHS2019
1043,Kentucky,Estill County,14106,139
336,Florida,Calhoun County,14105,133
2217,Oklahoma,Murray County,14073,146
2416,South Dakota,Clay County,14070,131
2361,South Carolina,Bamberg County,14066,124
847,Iowa,Harrison County,14049,154
253,Colorado,Archuleta County,14029,127
1273,Michigan,Crawford County,14029,132
767,Indiana,Newton County,13984,129
1280,Michigan,Gogebic County,13975,128
521,Georgia,Screven County,13966,196
3044,West Virginia,Braxton County,13957,127
1944,North Carolina,Chowan County,13943,136
2596,Texas,Callahan County,13943,143
1195,Louisiana,Winn Parish,13904,151
81,Alaska,Ketchikan Gateway Borough,13901,153
703,Illinois,Washington County,13887,154
584,Idaho,Franklin County,13876,202
3174,Wyoming,Converse County,13822,154
350,Florida,Glades County,13811,64
1493,Mississippi,Tallahatchie County,13809,162
38,Alabama,Lamar County,13805,159
3056,West Virginia,Hardy County,13776,147
21,Alabama,Crenshaw County,13772,137
672,Illinois,Massac County,13772,138
2170,Oklahoma,Atoka County,13758,153
1642,Montana,Glacier County,13753,238
875,Iowa,O'Brien County,13753,170
3026,Washington,Pend Oreille County,13724,119
2551,Tennessee,Stewart County,13715,136
3084,West Virginia,Roane County,13688,119
807,Iowa,Allamakee County,13687,192
1417,Minnesota,Wadena County,13682,186
1774,Nebraska,York County,13679,170
2134,Ohio,Monroe County,13654,116
1359,Minnesota,Faribault County,13653,146
351,Florida,Gulf County,13639,112
2613,Texas,Comanche County,13635,139
147,Arkansas,Izard County,13629,119
1584,Missouri,Osage County,13615,142
2742,Texas,Newton County,13595,112
1446,Mississippi,Greene County,13586,143
705,Illinois,White County,13537,132
1995,North Carolina,Perquimans County,13463,116
2501,Tennessee,Grundy County,13427,158
421,Georgia,Charlton County,13392,109
443,Georgia,Dooly County,13390,88
671,Illinois,Mason County,13359,127
3147,Wisconsin,Price County,13351,119
1065,Kentucky,Jackson County,13329,154
1626,Montana,Big Horn County,13319,244
1098,Kentucky,Morgan County,13309,105
1599,Missouri,Ripley County,13288,137
291,Colorado,Moffat County,13283,170
2199,Oklahoma,Hughes County,13279,156
3072,West Virginia,Monroe County,13275,111
1078,Kentucky,Lewis County,13275,164
2922,Virginia,Madison County,13261,129
1138,Louisiana,Bienville Parish,13241,142
14,Alabama,Clay County,13235,143
3177,Wyoming,Goshen County,13211,132
145,Arkansas,Howard County,13202,172
2835,Utah,Millard County,13188,192
1542,Missouri,Douglas County,13185,155
621,Illinois,Clay County,13184,144
1575,Missouri,Mississippi County,13180,141
947,Kansas,Jackson County,13171,173
2870,Virginia,Amelia County,13145,150
585,Idaho,Fremont County,13099,183
2598,Texas,Camp County,13094,178
2160,Ohio,Vinton County,13085,144
3102,Wisconsin,Buffalo County,13031,129
154,Arkansas,Lincoln County,13024,100
82,Alaska,Kodiak Island Borough,12998,168
639,Illinois,Greene County,12969,131
635,Illinois,Ford County,12961,145
493,Georgia,Macon County,12947,124
1127,Kentucky,Webster County,12942,178
2706,Texas,Lamb County,12893,167
603,Idaho,Shoshone County,12882,160
1026,Kentucky,Butler County,12879,154
409,Georgia,Bleckley County,12873,129
1619,Missouri,Wayne County,12873,124
819,Iowa,Cass County,12836,141
2442,South Dakota,Lake County,12797,129
2810,Texas,Wilbarger County,12769,154
1027,Kentucky,Caldwell County,12747,139
2624,Texas,Dawson County,12728,181
1992,North Carolina,Pamlico County,12726,79
1023,Kentucky,Breathitt County,12630,161
2198,Oklahoma,Haskell County,12627,120
1324,Michigan,Presque Isle County,12592,100
12,Alabama,Choctaw County,12589,133
1464,Mississippi,Lawrence County,12586,145
3085,West Virginia,Summers County,12573,98
903,Iowa,Wright County,12562,154
2983,Virginia,Martinsville city,12554,183
1540,Missouri,DeKalb County,12547,98
2756,Texas,Rains County,12514,143
183,Arkansas,Stone County,12506,111
1016,Kentucky,Bath County,12500,194
139,Arkansas,Fulton County,12477,134
60,Alabama,Sumter County,12427,136
808,Iowa,Appanoose County,12426,127
2531,Tennessee,Meigs County,12422,133
652,Illinois,Johnson County,12417,101
436,Georgia,Crawford County,12404,91
774,Indiana,Pike County,12389,131
2738,Texas,Morris County,12388,141
905,Kansas,Allen County,12369,138
1109,Kentucky,Powell County,12359,147
777,Indiana,Pulaski County,12353,122
2789,Texas,Terry County,12337,181
1428,Mississippi,Amite County,12297,125
1120,Kentucky,Todd County,12294,170
243,California,Trinity County,12285,118
2988,Virginia,Poquoson city,12271,107
2521,Tennessee,Lewis County,12268,141
155,Arkansas,Little River County,12259,136
574,Idaho,Boundary County,12245,134
892,Iowa,Union County,12241,130
842,Iowa,Grundy County,12232,124
1373,Minnesota,Koochiching County,12229,96
1646,Montana,Jefferson County,12221,105
2715,Texas,Live Oak County,12207,129
2921,Virginia,Lunenburg County,12196,117
673,Illinois,Menard County,12196,122
300,Colorado,Prowers County,12172,158
1087,Kentucky,Magoffin County,12161,127
1041,Kentucky,Edmonson County,12150,112
617,Illinois,Cass County,12147,167
604,Idaho,Teton County,12142,135
1517,Missouri,Bollinger County,12133,127
347,Florida,Franklin County,12125,94
2836,Utah,Morgan County,12124,145
1669,Montana,Sanders County,12113,112
1506,Mississippi,Yalobusha County,12108,145
2930,Virginia,Northumberland County,12095,88
1125,Kentucky,Washington County,12095,146
1570,Missouri,Madison County,12088,135
3030,Washington,Skamania County,12083,99
18,Alabama,Conecuh County,12067,123
536,Georgia,Towns County,12037,94
2760,Texas,Red River County,12023,120
2833,Utah,Juab County,12017,208
2804,Texas,Ward County,11998,192
2221,Oklahoma,Okfuskee County,11993,151
1481,Mississippi,Perry County,11973,128
1831,New Mexico,Colfax County,11941,110
823,Iowa,Chickasaw County,11933,145
2582,Texas,Blanco County,11931,75
471,Georgia,Heard County,11923,125
1566,Missouri,Linn County,11920,124
962,Kansas,Marion County,11884,107
2886,Virginia,Charlotte County,11880,115
1296,Michigan,Lake County,11853,115
2820,Texas,Zavala County,11840,153
600,Idaho,Owyhee County,11823,141
1349,Minnesota,Chippewa County,11800,164
3171,Wyoming,Big Horn County,11790,131
2514,Tennessee,Jackson County,11786,94
716,Indiana,Blackford County,11758,115
864,Iowa,Lyon County,11755,171
1514,Missouri,Barton County,11754,133
2929,Virginia,Northampton County,11710,120
2490,Tennessee,Decatur County,11663,108
2270,Oregon,Morrow County,11603,166
2017,North Carolina,Washington County,11580,129
3052,West Virginia,Grant County,11568,127
1960,North Carolina,Gates County,11562,96
1578,Missouri,Montgomery County,11551,127
701,Illinois,Wabash County,11520,131
2060,North Dakota,Ramsey County,11519,174
887,Iowa,Shelby County,11454,110
670,Illinois,Marshall County,11438,117
1633,Montana,Custer County,11402,126
1248,Massachusetts,Nantucket County,11399,141
606,Idaho,Valley County,11392,102
135,Arkansas,Desha County,11361,135
2906,Virginia,Greensville County,11336,107
2555,Tennessee,Trousdale County,11284,111
303,Colorado,Rio Grande County,11267,115
1398,Minnesota,Pope County,11249,121
822,Iowa,Cherokee County,11235,112
1945,North Carolina,Clay County,11231,87
1354,Minnesota,Cottonwood County,11196,144
1090,Kentucky,Martin County,11195,99
400,Georgia,Bacon County,11164,158
2954,Virginia,Sussex County,11159,86
2632,Texas,Duval County,11157,142
513,Georgia,Pulaski County,11137,92
1926,North Carolina,Alleghany County,11137,99
2219,Oklahoma,Noble County,11131,121
1458,Mississippi,Jefferson Davis County,11128,124
2231,Oklahoma,Pushmataha County,11096,110
2202,Oklahoma,Johnston County,11085,130
1289,Michigan,Iron County,11066,93
1638,Montana,Fergus County,11050,104
862,Iowa,Louisa County,11035,128
1667,Montana,Roosevelt County,11004,205
2894,Virginia,Essex County,10953,107
1164,Louisiana,Madison Parish,10951,151
1054,Kentucky,Green County,10941,107
3022,Washington,Lincoln County,10939,105
2242,Oklahoma,Washita County,10916,121
423,Georgia,Chattahoochee County,10907,239
1104,Kentucky,Owen County,10901,109
1420,Minnesota,Watonwan County,10897,162
1938,North Carolina,Camden County,10867,96
1193,Louisiana,West Carroll Parish,10830,92
1666,Montana,Richland County,10803,125
418,Georgia,Candler County,10803,130
1302,Michigan,Mackinac County,10799,88
1854,New Mexico,Sierra County,10791,98
1688,Nebraska,Box Butte County,10783,124
1702,Nebraska,Custer County,10777,125
626,Illinois,Cumberland County,10766,119
120,Arkansas,Bradley County,10763,116
789,Indiana,Switzerland County,10751,110
1629,Montana,Carbon County,10725,73
2646,Texas,Franklin County,10725,115
1754,Nebraska,Red Willow County,10724,135
169,Arkansas,Pike County,10718,102
1700,Nebraska,Colfax County,10709,193
843,Iowa,Guthrie County,10689,112
19,Alabama,Coosa County,10663,89
451,Georgia,Evans County,10654,127
1096,Kentucky,Monroe County,10650,144
2074,North Dakota,Walsh County,10641,124
1375,Minnesota,Lake County,10641,105
1031,Kentucky,Carroll County,10631,141
845,Iowa,Hancock County,10630,115
2917,Virginia,Lancaster County,10603,62
870,Iowa,Mitchell County,10586,129
2925,Virginia,Middlesex County,10582,88
724,Indiana,Crawford County,10577,117
2055,North Dakota,Mountrail County,10545,186
2768,Texas,Sabine County,10542,100
1583,Missouri,Oregon County,10529,111
2605,Texas,Clay County,10471,75
167,Arkansas,Perry County,10455,117
2412,South Dakota,Butte County,10429,135
483,Georgia,Lanier County,10423,116
1477,Mississippi,Noxubee County,10417,161
2026,North Dakota,Barnes County,10415,90
1254,Michigan,Alcona County,10405,57
2458,South Dakota,Roberts County,10394,167
66,Alabama,Wilcox County,10373,133
899,Iowa,Winnebago County,10354,95
1595,Missouri,Ralls County,10309,101
178,Arkansas,Scott County,10281,112
2766,Texas,Runnels County,10264,106
762,Indiana,Martin County,10255,111
2210,Oklahoma,Love County,10253,113
858,Iowa,Keokuk County,10246,121
970,Kansas,Nemaha County,10231,152
1037,Kentucky,Clinton County,10218,121
607,Idaho,Washington County,10194,108
446,Georgia,Early County,10190,128
2463,South Dakota,Todd County,10177,238
1177,Louisiana,St. Helena Parish,10132,99
1555,Missouri,Iron County,10125,98
2630,Texas,Dimmit County,10124,124
123,Arkansas,Chicot County,10118,111
6,Alabama,Bullock County,10101,109
2220,Oklahoma,Nowata County,10076,126
2206,Oklahoma,Latimer County,10073,121
1095,Kentucky,Metcalfe County,10071,113
839,Iowa,Franklin County,10070,117
1726,Nebraska,Holt County,10067,139
313,Colorado,Yuma County,10019,135
2829,Utah,Emery County,10012,110
86,Alaska,Nome Census Area,10004,197
1553,Missouri,Howard County,10001,107
1433,Mississippi,Carroll County,9947,84
2891,Virginia,Cumberland County,9932,72
1142,Louisiana,Caldwell Parish,9918,123
873,Iowa,Montgomery County,9917,107
1076,Kentucky,Leslie County,9877,95
2724,Texas,Marion County,9854,70
1548,Missouri,Grundy County,9850,151
1369,Minnesota,Jackson County,9846,98
2745,Texas,Ochiltree County,9836,139
87,Alaska,North Slope Borough,9832,151
3187,Wyoming,Sublette County,9831,88
1412,Minnesota,Stevens County,9805,131
554,Georgia,Wilkes County,9777,95
1564,Missouri,Lewis County,9776,125
1474,Mississippi,Montgomery County,9775,120
2831,Utah,Grand County,9754,108
1460,Mississippi,Kemper County,9742,90
43,Alabama,Lowndes County,9726,116
885,Iowa,Sac County,9721,106
1424,Minnesota,Yellow Medicine County,9709,108
963,Kansas,Marshall County,9707,117
958,Kansas,Linn County,9703,90
260,Colorado,Clear Creek County,9700,73
1503,Mississippi,Webster County,9689,112
817,Iowa,Calhoun County,9668,102
480,Georgia,Johnson County,9643,105
1672,Montana,Stillwater County,9642,77
1497,Mississippi,Tunica County,9632,169
648,Illinois,Jasper County,9610,114
2751,Texas,Parmer County,9605,137
1791,Nevada,White Pine County,9580,104
911,Kansas,Brown County,9564,125
850,Iowa,Humboldt County,9558,107
3083,West Virginia,Ritchie County,9554,82
1551,Missouri,Hickory County,9544,87
984,Kansas,Rice County,9537,103
104,Arizona,Greenlee County,9498,144
1144,Louisiana,Catahoula Parish,9494,106
2389,South Carolina,McCormick County,9463,53
1625,Montana,Beaverhead County,9453,77
2052,North Dakota,McLean County,9450,111
2173,Oklahoma,Blaine County,9429,116
1975,North Carolina,Jones County,9419,91
474,Georgia,Irwin County,9416,104
1601,Missouri,St. Clair County,9397,92
824,Iowa,Clarke County,9395,124
1771,Nebraska,Wayne County,9385,95
2781,Texas,Stephens County,9366,108
1382,Minnesota,Marshall County,9336,106
1313,Michigan,Montmorency County,9328,62
1722,Nebraska,Hamilton County,9324,106
1404,Minnesota,Rock County,9315,104
568,Idaho,Benewah County,9298,96
2414,South Dakota,Charles Mix County,9292,157
1413,Minnesota,Swift County,9266,112
836,Iowa,Emmet County,9208,104
1085,Kentucky,McLean County,9207,108
2588,Texas,Brewster County,9203,87
94,Alaska,Valdez-Cordova Census Area,9202,118
1080,Kentucky,Livingston County,9194,94
1585,Missouri,Ozark County,9174,80
500,Georgia,Montgomery County,9172,102
980,Kansas,Pratt County,9164,95
849,Iowa,Howard County,9158,117
1636,Montana,Deer Lodge County,9140,69
2779,Texas,Somervell County,9128,85
1396,Minnesota,Pipestone County,9126,132
1255,Michigan,Alger County,9108,62
1750,Nebraska,Phelps County,9034,116
2942,Virginia,Richmond County,9023,71
1521,Missouri,Caldwell County,9020,91
3117,Wisconsin,Forest County,9004,97
830,Iowa,Davis County,9000,150
1436,Mississippi,Claiborne County,8988,113
163,Arkansas,Montgomery County,8986,88
2419,South Dakota,Custer County,8972,68
555,Georgia,Wilkinson County,8954,104
1668,Montana,Rosebud County,8937,137
2685,Texas,Jack County,8935,82
53,Alabama,Perry County,8923,95
1698,Nebraska,Cheyenne County,8910,86
841,Iowa,Greene County,8888,103
878,Iowa,Palo Alto County,8886,106
1049,Kentucky,Gallatin County,8869,112
153,Arkansas,Lee County,8857,81
1701,Nebraska,Cuming County,8846,105
215,California,Modoc County,8841,71
2923,Virginia,Mathews County,8834,67
1352,Minnesota,Clearwater County,8818,110
1038,Kentucky,Crittenden County,8806,88
2243,Oklahoma,Woods County,8793,96
919,Kansas,Cloud County,8786,98
581,Idaho,Clearwater County,8756,72
715,Indiana,Benton County,8748,103
1056,Kentucky,Hancock County,8722,106
2817,Texas,Yoakum County,8713,151
2205,Oklahoma,Kiowa County,8708,113
1571,Missouri,Maries County,8697,76
2359,South Carolina,Allendale County,8688,81
1525,Missouri,Carroll County,8679,84
479,Georgia,Jenkins County,8676,97
1577,Missouri,Monroe County,8644,87
553,Georgia,Wilcox County,8635,78
1504,Mississippi,Wilkinson County,8630,88
871,Iowa,Monona County,8615,86
1635,Montana,Dawson County,8613,73
863,Iowa,Lucas County,8600,118
1653,Montana,Madison County,8600,53
3088,West Virginia,Tyler County,8591,74
1704,Nebraska,Dawes County,8589,77
2571,Texas,Archer County,8553,70
2734,Texas,Mitchell County,8545,100
532,Georgia,Terrell County,8531,98
1007,Kansas,Wilson County,8525,107
3048,West Virginia,Clay County,8508,88
91,Alaska,Sitka City and Borough,8493,77
1122,Kentucky,Trimble County,8471,82
2663,Texas,Hamilton County,8461,91
467,Georgia,Hancock County,8457,49
3049,West Virginia,Doddridge County,8448,62
3179,Wyoming,Johnson County,8445,67
1172,Louisiana,Red River Parish,8442,114
1961,North Carolina,Graham County,8441,72
362,Florida,Lafayette County,8422,63
1695,Nebraska,Cedar County,8402,103
3185,Wyoming,Platte County,8393,74
2465,South Dakota,Turner County,8384,102
495,Georgia,Marion County,8359,86
367,Florida,Liberty County,8354,71
1549,Missouri,Harrison County,8352,86
1735,Nebraska,Knox County,8332,100
83,Alaska,Kusilvak Census Area,8314,233
1022,Kentucky,Bracken County,8303,97
1539,Missouri,Daviess County,8278,117
797,Indiana,Warren County,8265,86
1430,Mississippi,Benton County,8259,88
1847,New Mexico,Quay County,8253,90
164,Arkansas,Nevada County,8252,102
3078,West Virginia,Pocahontas County,8247,76
1321,Michigan,Oscoda County,8241,71
2769,Texas,San Augustine County,8237,78
1082,Kentucky,Lyon County,8210,45
1435,Mississippi,Choctaw County,8210,80
1260,Michigan,Baraga County,8209,62
261,Colorado,Conejos County,8205,86
2512,Tennessee,Houston County,8201,80
1388,Minnesota,Murray County,8194,88
2053,North Dakota,Mercer County,8187,88
307,Colorado,San Miguel County,8179,61
920,Kansas,Coffey County,8179,96
2608,Texas,Coleman County,8175,83
1609,Missouri,Shannon County,8166,92
399,Georgia,Atkinson County,8165,122
283,Colorado,Lake County,8127,86
540,Georgia,Twiggs County,8120,72
641,Illinois,Hamilton County,8116,78
3091,West Virginia,Webster County,8114,65
32,Alabama,Greene County,8111,96
1330,Michigan,Schoolcraft County,8094,64
522,Georgia,Seminole County,8090,94
2538,Tennessee,Perry County,8076,102
1452,Mississippi,Humphreys County,8064,94
173,Arkansas,Prairie County,8062,80
2073,North Dakota,Traill County,8036,87
1732,Nebraska,Keith County,8034,85
593,Idaho,Lemhi County,8027,75
530,Georgia,Taylor County,8020,86
1693,Nebraska,Butler County,8016,87
2814,Texas,Winkler County,8010,127
918,Kansas,Clay County,8002,92
539,Georgia,Turner County,7985,111
2720,Texas,McCulloch County,7984,86
2973,Virginia,Franklin city,7967,155
127,Arkansas,Cleveland County,7956,75
487,Georgia,Lincoln County,7921,75
1014,Kentucky,Ballard County,7888,76
2834,Utah,Kane County,7886,79
179,Arkansas,Searcy County,7881,73
831,Iowa,Decatur County,7870,98
2264,Oregon,Lake County,7869,57
1755,Nebraska,Richardson County,7865,90
906,Kansas,Anderson County,7858,102
550,Georgia,Wheeler County,7855,64
571,Idaho,Boise County,7831,59
3051,West Virginia,Gilmer County,7823,47
3191,Wyoming,Washakie County,7805,83
1001,Kansas,Thomas County,7777,115
1742,Nebraska,Merrick County,7755,86
165,Arkansas,Newton County,7753,84
1444,Mississippi,Franklin County,7713,84
872,Iowa,Monroe County,7707,78
602,Idaho,Power County,7681,115
2654,Texas,Goliad County,7658,72
2214,Oklahoma,Major County,7629,102
3010,Washington,Ferry County,7627,64
88,Alaska,Northwest Arctic Borough,7621,167
2484,Tennessee,Clay County,7615,64
926,Kansas,Doniphan County,7600,69
3175,Wyoming,Crook County,7584,103
1537,Missouri,Dade County,7561,66
2601,Texas,Castro County,7530,104
2708,Texas,La Salle County,7520,92
1042,Kentucky,Elliott County,7517,68
3077,West Virginia,Pleasants County,7460,68
2979,Virginia,Lexington city,7446,115
1529,Missouri,Chariton County,7426,82
1075,Kentucky,Lee County,7403,72
2785,Texas,Swisher County,7397,80
1677,Montana,Valley County,7396,85
2258,Oregon,Harney County,7393,63
902,Iowa,Worth County,7381,77
2941,Virginia,Rappahannock County,7370,52
2604,Texas,Childress County,7306,66
2436,South Dakota,Hutchinson County,7291,109
2622,Texas,Dallam County,7287,151
3143,Wisconsin,Pepin County,7287,78
1101,Kentucky,Nicholas County,7269,84
2238,Oklahoma,Tillman County,7250,75
2309,Pennsylvania,Forest County,7247,20
2858,Vermont,Grand Isle County,7235,68
1768,Nebraska,Thurston County,7224,152
2277,Oregon,Wallowa County,7208,61
2257,Oregon,Grant County,7199,63
1129,Kentucky,Wolfe County,7157,86
578,Idaho,Caribou County,7155,98
805,Iowa,Adair County,7152,84
952,Kansas,Kingman County,7152,75
938,Kansas,Grant County,7150,108
1751,Nebraska,Pierce County,7148,87
3047,West Virginia,Calhoun County,7109,49
282,Colorado,Kit Carson County,7097,78
2590,Texas,Brooks County,7093,102
792,Indiana,Union County,7054,66
2428,South Dakota,Grant County,7052,82
1729,Nebraska,Jefferson County,7046,73
893,Iowa,Van Buren County,7044,88
2914,Virginia,King and Queen County,7025,59
2518,Tennessee,Lake County,7016,57
134,Arkansas,Dallas County,7009,73
2575,Texas,Bailey County,7000,124
1457,Mississippi,Jefferson County,6990,81
1143,Louisiana,Cameron Parish,6973,86
1745,Nebraska,Nemaha County,6972,101
3076,West Virginia,Pendleton County,6969,62
2885,Virginia,Charles City County,6963,52
840,Iowa,Fremont County,6960,78
2762,Texas,Refugio County,6948,66
1003,Kansas,Wabaunsee County,6931,74
3192,Wyoming,Weston County,6927,61
537,Georgia,Treutlen County,6901,71
2407,South Dakota,Bon Homme County,6901,69
278,Colorado,Huerfano County,6897,48
93,Alaska,Southeast Fairbanks Census Area,6893,109
1663,Montana,Powell County,6890,57
1149,Louisiana,East Carroll Parish,6861,82
851,Iowa,Ida County,6860,68
988,Kansas,Russell County,6856,71
3087,West Virginia,Tucker County,6839,60
2027,North Dakota,Benson County,6832,139
305,Colorado,Saguache County,6824,69
2058,North Dakota,Pembina County,6801,70
1531,Missouri,Clark County,6797,72
1485,Mississippi,Quitman County,6792,80
517,Georgia,Randolph County,6778,63
693,Illinois,Schuyler County,6768,54
1788,Nevada,Pershing County,6725,53
2426,South Dakota,Fall River County,6713,46
2822,Utah,Beaver County,6710,112
2755,Texas,Presidio County,6704,95
162,Arkansas,Monroe County,6701,67
1627,Montana,Blaine County,6681,81
644,Illinois,Henderson County,6646,63
151,Arkansas,Lafayette County,6624,61
1374,Minnesota,Lac qui Parle County,6623,58
525,Georgia,Stewart County,6621,34
2504,Tennessee,Hancock County,6620,68
880,Iowa,Pocahontas County,6619,71
429,Georgia,Clinch County,6618,83
1039,Kentucky,Cumberland County,6614,67
613,Illinois,Brown County,6578,56
2453,South Dakota,Moody County,6576,82
1546,Missouri,Gentry County,6571,83
1731,Nebraska,Kearney County,6495,80
1093,Kentucky,Menifee County,6489,61
2534,Tennessee,Moore County,6488,59
2964,Virginia,Buena Vista city,6478,91
1692,Nebraska,Burt County,6459,64
1728,Nebraska,Howard County,6445,72
897,Iowa,Wayne County,6441,80
2953,Virginia,Surry County,6422,56
977,Kansas,Pawnee County,6414,76
632,Illinois,Edwards County,6395,74
2460,South Dakota,Spink County,6376,81
1391,Minnesota,Norman County,6375,81
2975,Virginia,Galax city,6347,69
302,Colorado,Rio Blanco County,6324,62
188,Arkansas,Woodruff County,6320,70
1683,Nebraska,Antelope County,6298,80
2029,North Dakota,Bottineau County,6282,61
2877,Virginia,Bland County,6280,39
1598,Missouri,Reynolds County,6270,64
274,Colorado,Gilpin County,6243,36
1628,Montana,Broadwater County,6237,60
1301,Michigan,Luce County,6229,60
2651,Texas,Garza County,6229,52
1421,Minnesota,Wilkin County,6207,73
90,Alaska,Prince of Wales-Hyder Census Area,6203,59
1699,Nebraska,Clay County,6203,80
527,Georgia,Talbot County,6195,63
416,Georgia,Calhoun County,6189,53
2431,South Dakota,Hamlin County,6164,119
2856,Vermont,Essex County,6163,51
1674,Montana,Teton County,6147,77
567,Idaho,Bear Lake County,6125,77
891,Iowa,Taylor County,6121,70
931,Kansas,Ellsworth County,6102,54
1613,Missouri,Sullivan County,6089,86
2339,Pennsylvania,Sullivan County,6066,41
263,Colorado,Crowley County,6061,30
2772,Texas,San Saba County,6055,65
2201,Oklahoma,Jefferson County,6002,61
939,Kansas,Gray County,5988,94
1526,Missouri,Carter County,5982,72
941,Kansas,Greenwood County,5982,56
966,Kansas,Mitchell County,5979,72
1363,Minnesota,Grant County,5972,56
1048,Kentucky,Fulton County,5969,54
876,Iowa,Osceola County,5958,59
2719,Texas,Lynn County,5951,71
1610,Missouri,Shelby County,5930,76
2599,Texas,Carson County,5926,43
1765,Nebraska,Stanton County,5920,68
995,Kansas,Sherman County,5917,72
1661,Montana,Pondera County,5911,77
2423,South Dakota,Dewey County,5892,137
769,Indiana,Ohio County,5875,71
2558,Tennessee,Van Buren County,5872,69
3093,West Virginia,Wirt County,5821,47
2725,Texas,Martin County,5771,86
610,Illinois,Alexander County,5761,54
2049,North Dakota,McHenry County,5745,64
686,Illinois,Putnam County,5739,47
2620,Texas,Crosby County,5737,61
1319,Michigan,Ontonagon County,5720,28
497,Georgia,Miller County,5718,69
2643,Texas,Floyd County,5712,70
2195,Oklahoma,Greer County,5712,52
976,Kansas,Ottawa County,5704,39
2169,Oklahoma,Alfalfa County,5702,47
287,Colorado,Lincoln County,5701,61
1697,Nebraska,Cherry County,5689,77
3122,Wisconsin,Iron County,5687,33
2184,Oklahoma,Cotton County,5666,63
2670,Texas,Haskell County,5658,42
1378,Minnesota,Lincoln County,5639,70
1707,Nebraska,Dixon County,5636,76
1632,Montana,Chouteau County,5635,44
70,Alaska,Aleutians West Census Area,5634,38
968,Kansas,Morris County,5620,75
2446,South Dakota,McCook County,5586,90
255,Colorado,Bent County,5577,36
2669,Texas,Hartley County,5576,64
2968,Virginia,Covington city,5538,67
1783,Nevada,Lander County,5532,76
1381,Minnesota,Mahnomen County,5527,90
809,Iowa,Audubon County,5496,60
2182,Oklahoma,Coal County,5495,68
999,Kansas,Stevens County,5485,62
1353,Minnesota,Cook County,5463,46
1711,Nebraska,Fillmore County,5462,65
2464,South Dakota,Tripp County,5441,86
943,Kansas,Harper County,5436,57
2467,South Dakota,Walworth County,5435,78
2421,South Dakota,Day County,5424,67
1005,Kansas,Washington County,5406,72
2664,Texas,Hansford County,5399,74
595,Idaho,Lincoln County,5366,66
973,Kansas,Norton County,5361,51
2970,Virginia,Emporia city,5346,51
696,Illinois,Stark County,5342,57
685,Illinois,Pulaski County,5335,56
2626,Texas,Delta County,5331,65
2171,Oklahoma,Beaver County,5311,52
2410,South Dakota,Brule County,5297,69
520,Georgia,Schley County,5257,46
546,Georgia,Warren County,5254,61
1762,Nebraska,Sheridan County,5246,57
978,Kansas,Phillips County,5234,49
97,Alaska,Yukon-Koyukuk Census Area,5230,76
2061,North Dakota,Ransom County,5218,49
1753,Nebraska,Polk County,5213,61
2690,Texas,Jim Hogg County,5200,56
1687,Nebraska,Boone County,5192,56
121,Arkansas,Calhoun County,5189,39
1784,Nevada,Lincoln County,5183,55
1511,Missouri,Atchison County,5143,41
2889,Virginia,Craig County,5131,39
1730,Nebraska,Johnson County,5071,41
264,Colorado,Custer County,5068,33
2808,Texas,Wheeler County,5056,53
2830,Utah,Garfield County,5051,55
2539,Tennessee,Pickett County,5048,35
1766,Nebraska,Thayer County,5003,47
1343,Minnesota,Big Stone County,4991,70
296,Colorado,Ouray County,4952,20
694,Illinois,Scott County,4951,43
2441,South Dakota,Kingsbury County,4939,66
1971,North Carolina,Hyde County,4937,33
2448,South Dakota,Marshall County,4935,73
986,Kansas,Rooks County,4920,49
75,Alaska,Dillingham Census Area,4916,87
311,Colorado,Washington County,4908,47
1607,Missouri,Scotland County,4902,73
884,Iowa,Ringgold County,4894,52
2189,Oklahoma,Dewey County,4891,59
2681,Texas,Hudspeth County,4886,37
2733,Texas,Mills County,4873,30
2035,North Dakota,Dickey County,4872,61
638,Illinois,Gallatin County,4828,40
990,Kansas,Scott County,4823,58
2618,Texas,Crane County,4797,59
1030,Kentucky,Carlisle County,4760,53
615,Illinois,Calhoun County,4739,39
1675,Montana,Toole County,4736,63
1594,Missouri,Putnam County,4696,55
1714,Nebraska,Furnas County,4676,56
1606,Missouri,Schuyler County,4660,76
1743,Nebraska,Morrill County,4642,45
983,Kansas,Republic County,4636,59
1657,Montana,Musselshell County,4633,41
3136,Wisconsin,Menominee County,4556,84
599,Idaho,Oneida County,4531,54
1845,New Mexico,Mora County,4521,30
1786,Nevada,Mineral County,4505,57
3035,Washington,Wahkiakum County,4488,33
2294,Pennsylvania,Cameron County,4447,37
908,Kansas,Barber County,4427,50
2037,North Dakota,Dunn County,4424,67
1881,New York,Hamilton County,4416,28
1105,Kentucky,Owsley County,4415,60
3178,Wyoming,Hot Springs County,4413,37
1552,Missouri,Holt County,4403,43
1655,Montana,Mineral County,4397,37
1063,Kentucky,Hickman County,4380,35
2422,South Dakota,Deuel County,4351,56
2700,Texas,Kimble County,4337,48
1185,Louisiana,Tensas Parish,4334,47
2194,Oklahoma,Grant County,4333,48
1488,Mississippi,Sharkey County,4321,65
582,Idaho,Custer County,4315,33
1837,New Mexico,Guadalupe County,4300,41
1372,Minnesota,Kittson County,4298,66
3115,Wisconsin,Florence County,4295,27
565,Idaho,Adams County,4294,31
2726,Texas,Mason County,4274,34
