,STNAME,CTYNAME,POPESTIMATE2019,BIRTHS2019
2530,Tennessee,Maury County,96387,1244
2032,North Dakota,Burleigh County,95626,1180
1911,New York,Steuben County,95379,981
3011,Washington,Franklin County,95222,1573
544,Georgia,Walton County,94593,1174
2989,Virginia,Portsmouth city,94398,1415
1987,North Carolina,Nash County,94298,1061
2943,Virginia,Roanoke County,94186,697
2106,Ohio,Geauga County,93649,940
1029,Kentucky,Campbell County,93584,1141
829,Iowa,Dallas County,93453,1299
2585,Texas,Bowie County,93245,1117
882,Iowa,Pottawattamie County,93206,1110
1281,Michigan,Grand Traverse County,93088,902
2247,Oregon,Benton County,93053,701
1086,Kentucky,Madison County,92987,984
39,Alabama,Lauderdale County,92729,876
1217,Maryland,Calvert County,92525,892
2233,Oklahoma,Rogers County,92459,1004
2995,Virginia,Suffolk city,92108,1136
2801,Texas,Victoria County,92084,1175
1809,New Jersey,Cape May County,92039,734
2157,Ohio,Tuscarawas County,91987,1098
3046,West Virginia,Cabell County,91945,1009
2002,North Carolina,Rockingham County,91010,871
519,Georgia,Rockdale County,90896,971
2331,Pennsylvania,Northumberland County,90843,888
3152,Wisconsin,St. Croix County,90687,992
1935,North Carolina,Burke County,90485,883
1919,New York,Wayne County,89918,941
1798,New Hampshire,Grafton County,89886,681
58,Alabama,St. Clair County,89512,983
2900,Virginia,Frederick County,89313,949
3142,Wisconsin,Ozaukee County,89221,850
2577,Texas,Bastrop County,88723,1093
374,Florida,Nassau County,88625,858
1530,Missouri,Christian County,88595,1025
2712,Texas,Liberty County,88219,1208
444,Georgia,Dougherty County,87956,1255
3110,Wisconsin,Dodge County,87839,771
566,Idaho,Bannock County,87808,1170
1297,Michigan,Lapeer County,87607,753
2262,Oregon,Josephine County,87487,866
1519,Missouri,Buchanan County,87364,1068
605,Idaho,Twin Falls County,86878,1195
213,California,Mendocino County,86749,933
2569,Texas,Angelina County,86715,1071
2138,Ohio,Muskingum County,86215,1002
2394,South Carolina,Orangeburg County,86175,950
1978,North Carolina,Lincoln County,86111,834
2272,Oregon,Polk County,86085,848
2319,Pennsylvania,Lawrence County,85512,863
1466,Mississippi,Lee County,85436,1121
460,Georgia,Glynn County,85292,916
3015,Washington,Island County,85141,916
3124,Wisconsin,Jefferson County,84769,835
2302,Pennsylvania,Crawford County,84629,908
2314,Pennsylvania,Indiana County,84073,760
714,Indiana,Bartholomew County,83779,1015
22,Alabama,Cullman County,83768,990
3094,West Virginia,Wood County,83518,869
1868,New York,Chemung County,83456,859
2747,Texas,Orange County,83396,1014
404,Georgia,Barrow County,83240,1062
1309,Michigan,Midland County,83156,855
2673,Texas,Henderson County,82737,894
745,Indiana,Howard County,82544,946
1937,North Carolina,Caldwell County,82178,774
2980,Virginia,Lynchburg city,82168,1197
1180,Louisiana,St. Landry Parish,82124,1111
