,STNAME,Year,Population
30,New Hampshire,POPESTIMATE2010,1316762
495,Montana,POPESTIMATE2019,1068778
443,Montana,POPESTIMATE2018,1060665
508,Rhode Island,POPESTIMATE2019,1059361
456,Rhode Island,POPESTIMATE2018,1058287
352,Rhode Island,POPESTIMATE2016,1056770
300,Rhode Island,POPESTIMATE2015,1056065
248,Rhode Island,POPESTIMATE2014,1055936
404,Rhode Island,POPESTIMATE2017,1055673
196,Rhode Island,POPESTIMATE2013,1055081
144,Rhode Island,POPESTIMATE2012,1054621
40,Rhode Island,POPESTIMATE2010,1053959
92,Rhode Island,POPESTIMATE2011,1053649
391,Montana,POPESTIMATE2017,1052482
339,Montana,POPESTIMATE2016,1040859
287,Montana,POPESTIMATE2015,1030475
235,Montana,POPESTIMATE2014,1021869
183,Montana,POPESTIMATE2013,1013569
131,Montana,POPESTIMATE2012,1003783
79,Montana,POPESTIMATE2011,997316
27,Montana,POPESTIMATE2010,990697
475,Delaware,POPESTIMATE2019,973764
423,Delaware,POPESTIMATE2018,965479
371,Delaware,POPESTIMATE2017,956823
319,Delaware,POPESTIMATE2016,948921
267,Delaware,POPESTIMATE2015,941252
215,Delaware,POPESTIMATE2014,932487
163,Delaware,POPESTIMATE2013,923576
111,Delaware,POPESTIMATE2012,915179
59,Delaware,POPESTIMATE2011,907381
7,Delaware,POPESTIMATE2010,899593
510,South Dakota,POPESTIMATE2019,884659
458,South Dakota,POPESTIMATE2018,878698
406,South Dakota,POPESTIMATE2017,872868
354,South Dakota,POPESTIMATE2016,862996
302,South Dakota,POPESTIMATE2015,853988
250,South Dakota,POPESTIMATE2014,849129
198,South Dakota,POPESTIMATE2013,842316
146,South Dakota,POPESTIMATE2012,833566
94,South Dakota,POPESTIMATE2011,823579
42,South Dakota,POPESTIMATE2010,816166
503,North Dakota,POPESTIMATE2019,762062
451,North Dakota,POPESTIMATE2018,758080
399,North Dakota,POPESTIMATE2017,754942
347,North Dakota,POPESTIMATE2016,754434
295,North Dakota,POPESTIMATE2015,754066
313,Alaska,POPESTIMATE2016,741456
